EmployeeID,Grouplevel1,Grouplevel2,Grouplevel3,Grouplevel4,Grouplevel5,Grouplevel6,Grouplevel7,Grouplevel8,Grouplevel9,Grouplevel10,Grouplevel11,Grouplevel12,Grouplevel13,Grouplevel14,Grouplevel15,Grouplevel16,Grouplevel17,Grouplevel18,Grouplevel19,Grouplevel20,Grouplevel21,Grouplevel22,Grouplevel23,Grouplevel24,Grouplevel25,Grouplevel26,Grouplevel27,Grouplevel28,Grouplevel29,Grouplevel30,Grouplevel31,Grouplevel32,Grouplevel33,Grouplevel34,Grouplevel35,Grouplevel36,Grouplevel37,Grouplevel38,Grouplevel39,Grouplevel40,Grouplevel41,Grouplevel42,Grouplevel43,Grouplevel44,Grouplevel45,Grouplevel46,Grouplevel47,Grouplevel48,Grouplevel49,Grouplevel50,Grouplevel51,Grouplevel52,Grouplevel53,Grouplevel54,Grouplevel55,Grouplevel56,Grouplevel57,Grouplevel58,Grouplevel59
61561958693628,588447323888985,1225491695279351,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562191380268,588447323888985,1225491695279351,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562168182467,588447323888985,1225491695279351,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100070624410834,1003604680845459,683794266600340,693066472569014,3327576334156870,855859935739661,597681658792497,785900265831538,470044731622027,475179687979778,883971562766228,444173807262481,341853227750658,251904703414647,671087450520603,972066943349971,579208649955210,270565461634046,1045361812923418,1220285855138416,4188813607913301,3076519192593863,3044345382487242,3032934566959686,1343383429410872,1245285202653823,952887398628237,914627555821561,905556720339568,883450445891390,881772592732873,590631238739212,568480764401998,566290881349355,537015447372925,371236531339462,369807448215317,340440071199285,300636434727029,289599869359783,220356160156428,193648072852213,171040701825965,156779166649498,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,566030357901986,500380054367287,419163799575496,717456189490594,1133089240698702,501525465189407,1689101334822009,431671232299688,405522091450195,804988427045390
100070533004413,597681658792497,3361835327382053,465829044982370,578988933803141,444173807262481,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,500380054367287,419163799575496,717456189490594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100069789008979,680334146840275,5961593197218391,927969741512288,785900265831538,470044731622027,579208649955210,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,566030357901986,500380054367287,419163799575496,422599323417581,3280955308887569,1133089240698702,501525465189407,804988427045390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100070042314532,737344630839806,1412403309212934,1092471317986828,251904703414647,671087450520603,972066943349971,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,566030357901986,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100073359444794,1092471317986828,251904703414647,671087450520603,972066943349971,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,918451118737434,566030357901986,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100073596974146,1092471317986828,251904703414647,671087450520603,972066943349971,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,918451118737434,566030357901986,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100070103331949,239493118058165,4597040463713861,2973005242954446,405647357782615,3170810336475591,251904703414647,972066943349971,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,566030357901986,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100073385486296,251904703414647,972066943349971,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100070615291253,251904703414647,671087450520603,972066943349971,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,566030357901986,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100056081877235,671087450520603,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,566030357901986,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100070469316640,579208649955210,270565461634046,537015447372925,152287970426641,132693762381068,2670655749898255,942124976570122,568097734356556,918451118737434,566030357901986,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61553425575773,1045361812923418,152287970426641,2670655749898255,942124976570122,568097734356556,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100086390317459,1220285855138416,537015447372925,152287970426641,2670655749898255,942124976570122,568097734356556,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100086261323555,537015447372925,152287970426641,2670655749898255,942124976570122,568097734356556,918451118737434,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61573220435288,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,419163799575496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61571590286475,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61567238931643,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61563041196850,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561829767818,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562191520440,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561661260932,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562047106683,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561934460816,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562039180898,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561600807023,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561539902553,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561496801781,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561456603612,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561450299947,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561449729932,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561445143654,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561421863640,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561318637784,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561941804142,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561937034372,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561892516909,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561828078021,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561733728556,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561705412178,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561671124422,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561664104775,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561497611655,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561336096741,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562055590190,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562036241025,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562003542320,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561939104297,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561764061047,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561709097707,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561499950885,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561469382648,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561457412955,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561371645388,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562051960367,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562041430848,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561955333663,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561945254033,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561898905988,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561726618263,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561637405814,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561542632755,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561454713100,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561429933811,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562063720032,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61562018721896,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561996702739,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561764600748,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561728988187,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561676074197,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561670944379,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561636505901,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561336787174,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61561310597840,152287970426641,2670655749898255,942124976570122,918451118737434,500380054367287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
